,position,user,first_genre,genre_label,track_name,track_id,artist,duration_ms,gender,age,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode
0,0,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Subzero - Original Mix,7p6oXzBSPAXXz8Xb8gBPki,Ben Klock,383972,M,40,-1.896624597169974,0.6902512118574398,1.1046613705170978,0.14080946610712725,1.907263336037062,-0.5265672245131757,-0.263274454652787,-0.10469178606223395,0.08318760558718033,-1.3281288881365192,6.0,0.0
1,1,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",175238,M,40,0.7251362773806354,-0.8813736156408037,-0.1015504836047317,1.4387601611931702,-0.5284611322141013,1.51839671229108,0.6949637605726947,-0.6110204613829069,0.1851422963394734,-0.5762720771819714,7.0,0.0
2,2,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,I Don't Wanna Wait,331l3xABO0HMr1Kkyh2LZq,"David Guetta, OneRepublic",149667,M,40,0.4629601899255744,-0.7907893543095718,0.5223521995617318,0.5261953867769327,-0.5284811330426685,0.4729756486066684,0.5813947869163413,-0.6631876582341278,0.24981604512598737,0.434288152595647,1.0,0.0
3,3,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Love Tonight (David Guetta Remix Edit),2prnn41CblB8B4yWACDljP,"Shouse, David Guetta",158095,M,40,0.13524008060674825,-0.8513223474771606,0.21040085797849978,1.5260173507787866,0.4814616956001465,0.11196693596744699,0.6285547844516067,-0.47139649333993344,0.11706114963135629,-1.6644433326065107,10.0,0.0
4,4,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Wide Open - Len Faki DjEdit,477I4wif0etzeupmlQzTxl,"DJ Hyperactive, Len Faki",435571,M,40,-2.2243447064888002,-0.8914694427590568,1.5881859499711068,0.1698951959689994,1.9751586522483437,-0.5295756304518359,0.2820731699067997,0.14386956364064196,0.1843071497900606,-1.420291981092238,7.0,1.0
5,5,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Wake Me Up,0nrRP2bk19rLc0orkWPQk2,Avicii,247426,M,40,0.7906802992444006,-0.8814543262983605,-0.2523269653699605,0.7770598068355798,-0.5250863672321044,-0.061016405505513176,0.4514641814620387,-0.33484118393526713,0.05285508291251372,0.794047594396479,2.0,1.0
6,6,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Shape of You,7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,233712,M,40,0.9873123648356963,0.6714187250941899,1.2710354193614877,0.300780980347424,-0.5284811330426685,-0.5716933135930784,0.7539137574917765,0.0932366961085745,-0.8859498562132069,1.9582129791002951,1.0,0.0
7,7,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Closer,7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",244960,M,40,0.8562243211081658,0.22212939802808468,0.8706978643296738,-0.16459069744252977,-0.5284811330426685,-0.4370671478380354,0.463254180845855,-0.6186921079786747,-0.9182533247444872,0.8668079309404675,8.0,1.0
8,8,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Baby Don't Hurt Me,3BKD1PwArikchz2Zrlp1qi,"David Guetta, Anne-Marie, Coi Leray",140017,M,40,0.2663281243342787,-0.8882878286381685,0.11161626647714296,1.2387957683927997,-0.5279888920001368,-0.36937801421818145,0.7273261058201089,-0.6647219875532813,0.1819353335897293,-0.8834823870343672,7.0,1.0
9,9,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,It Ain't Me (with Selena Gomez),3eR23VReFzcdmS7TYCrhCe,"Kygo, Selena Gomez",220780,M,40,0.20078410247051348,-0.5715254012803047,0.3091854494798566,-0.13186925134792363,-0.5284811330426685,-0.6220841130656363,0.34330898303294793,-0.054058918530166686,-0.7526270610649753,0.27664075675033845,0.0,1.0
10,10,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Lush Life,1rIKgCH4H52lrvDcz50hS8,Zara Larsson,200646,M,40,0.7251362773806354,-0.5365507830056977,0.5899416569047649,0.5189239543114647,-0.5284811330426685,0.31503433682700893,0.6648872315323469,-0.431503931041941,-0.8176014626092778,1.4246371777777127,7.0,0.0
11,11,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,The Nights,0ct6r3EGTcMLPtrXHDvVjc,Avicii,176658,M,40,0.7251362773806354,-0.8470177790741321,-0.27832291050189656,0.9661170509377484,-0.5284811330426685,0.6008329009997259,0.4994663218104338,-0.47293082265908704,0.11642643825380299,0.8385122445066941,6.0,1.0
12,12,0eeb2810a28f4aec9fb457dd2049c015_Benedict Bond,3,Electronic & Beat-Based,Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,"DJ Snake, Justin Bieber",205946,M,40,0.9217683429719311,-0.6595000180172008,-0.548680739874031,0.5298311030096667,-0.5284055995033835,-0.2565627915184247,0.4906839753306522,-0.24738441274351444,2.585420291075313,-1.1623970104529897,8.0,1.0
